《三国演义》第八十三回"战猇亭先主得仇人　守江口书生拜大将"事件列表

【详细事件列表】（20条）

1. 黄忠不服老，提刀出战潘璋，斩史迹战潘璋
2. 黄忠追击潘璋，被周泰韩当凌统马忠围困
3. 马忠射中黄忠，关兴张苞救出黄忠
4. 黄忠箭疮痛裂，临终劝先主保重图中原
5. 先主哀悼黄忠，引军至猇亭分军八路进发
6. 张苞关兴斩夏恂周平，大败韩当周泰
7. 甘宁遇沙摩柯，中箭死于富池口
8. 关兴追杀潘璋，迷路遇老人供奉关公像
9. 关公显圣助阵，关兴斩潘璋得青龙刀
10. 马忠围困关兴，张苞救应合力退敌
11. 糜芳傅士仁杀马忠，投先主请罪
12. 先主怒斥二人，设关公灵位剐祭
13. 孙权惧怕，步骘献策送张飞首级求和
14. 程秉出使，献张飞首级并范疆张达
15. 张苞凌迟范疆张达，先主拒和仍要灭吴
16. 阚泽举荐陆逊，张昭等反对
17. 孙权决意用陆逊，筑坛拜为大都督
18. 陆逊持剑掌权，令诸将坚守不出
19. 韩当等不服，陆逊厉声斥责
20. 先主移营山林避暑，马良画图问丞相

【简要事件列表】（6条）

1. 黄忠战死，甘宁中箭亡，先主得猇亭
2. 关兴斩潘璋，得青龙刀报父仇
3. 糜芳傅士仁杀马忠投蜀，被先主剐祭
4. 孙权送张飞首级求和，先主拒和
5. 阚泽举荐陆逊，孙权拜为大都督
6. 陆逊坚守不出，先主移营山林

【极简事件列表】（4条）

1. 黄忠甘宁战死，关兴报父仇
2. 糜芳傅士仁投蜀被杀
3. 孙权求和被拒，拜陆逊为将
4. 陆逊坚守，先主移营

【关键人物】

* 黄忠：蜀汉五虎将，不服老战死
* 甘宁：东吴将领，中箭而死
* 关兴：关羽次子，斩潘璋得青龙刀
* 张苞：张飞长子，与关兴并肩作战
* 潘璋：东吴将领，被关兴斩杀
* 马忠：东吴将领，射黄忠后被糜芳等所杀
* 糜芳、傅士仁：叛蜀降吴，杀马忠投蜀被剐
* 孙权：东吴之主，惧怕求和
* 陆逊：东吴儒将，被拜为大都督
* 阚泽：东吴大臣，举荐陆逊
* 张昭、顾雍：东吴重臣，反对用陆逊
* 韩当、周泰：东吴老将，不服陆逊
* 沙摩柯：蛮王，射死甘宁
* 程秉：东吴使者，出使蜀国
* 马良：蜀汉谋士，劝先主谨慎
* 冯习：蜀汉先锋，建议移营

【关键地点】

* 彝陵：黄忠战死处
* 猇亭：先主驻军处
* 富池口：甘宁死处
* 山谷：关兴遇老人处
* 江渚：马忠屯兵处
* 坛：陆逊拜将处
* 山林：先主移营处
* 川口：先主布军处

【关键物品】

* 青龙偃月刀：关羽兵器，关兴获得
* 丈八点钢矛：张飞兵器，张苞使用
* 沉香木匣：盛张飞首级
* 槛车：囚范疆张达
* 白旄黄钺：拜将仪仗
* 宝剑印绶：大都督信物
* 灵位：关公祭祀牌位
* 图本：马良所画营地图

【典故成语】

* 老当益壮：黄忠不服老的精神
* 虎父无犬子：先主赞关兴张苞
* 忍辱负重：陆逊的自我描述
* 兼听则明，偏听则蔽：马良劝先主
* 神机妙算：文武赞先主
* 出生入死：韩当等老将的经历
* 黄口孺子：先主轻视陆逊
* 擎天之柱：阚泽比喻陆逊

【精彩对白】

1. 黄忠："吾今年七十有五，寿亦足矣。望陛下善保龙体，以图中原！"
2. 先主："汝等吴狗，伤朕手足，誓不与立于天地之间！"
3. 先主："虎父无犬子也！"
4. 老人："此间皆是尊神地方。在生之日，家家侍奉，何况今日为神乎？"
5. 先主："朕若饶你，至九泉之下，有何面目见关公乎！"
6. 先主："朕切齿仇人，乃孙权也。今若与之连和，是负二弟当日之盟矣。"
7. 阚泽："现有擎天之柱，如何不用耶？"
8. 陆逊："仆虽一介书生，今蒙主上托以重任者，以吾有尺寸可取，能忍辱负重故也。"
9. 先主："朕用兵老矣，岂反不如一黄口孺子耶！"
10. 马良："古云兼听则明，偏听则蔽。望陛下察之。"

【情节特点】

1. **老将悲歌**：黄忠不服老战死，甘宁中箭亡
2. **子报父仇**：关兴斩潘璋得青龙刀，张苞助战
3. **叛徒下场**：糜芳傅士仁反复无常，终被剐祭
4. **外交失败**：孙权求和被拒，战争继续
5. **儒生拜将**：陆逊被拜大都督，老将不服
6. **坚守策略**：陆逊令坚守不出，等待时机
7. **移营失误**：先主移营山林避暑，埋下祸根
8. **性格冲突**：先主骄傲轻敌，不听劝谏

【战略意义】

1. **蜀军损失**：黄忠甘宁战死，损失大将
2. **吴军转机**：陆逊拜将，吴军有了统帅
3. **战争转折**：从蜀军进攻转为相持阶段
4. **人才更替**：老将逐渐退出，新一代将领主导
5. **战略失误**：先主移营山林，为火攻创造条件
6. **心理战**：陆逊坚守，消磨蜀军锐气
7. **外交孤立**：孙权求和被拒，只能死战
8. **历史节点**：为夷陵之战火攻埋下伏笔
