# 第三十四章《显身》主要事件

## 详细版
1. 弗兰兹与阿尔贝在斗兽场遇到神秘穿披风者与勒司斐人密谈，得知他们计划营救将被处决的强盗党羽庇皮诺
2. 神秘人提出用金钱运作缓刑，约定以罗斯波丽宫窗口窗帘为信号：中间窗口挂白缎带红十字窗帘表示成功，三个窗口都挂黄缎窗帘表示失败
3. 弗兰兹从神秘人声音和语气中认出他很可能是"水手辛巴德"，对其身份产生强烈好奇
4. 阿尔贝计划晚上的消遣，安排去爱根狄诺戏院观看歌剧《巴黎茜娜》，由著名歌唱家考塞黎、穆黎亚尼和斯必克主演
5. 在戏院中，弗兰兹看到G伯爵夫人，将阿尔贝介绍给她，三人交谈甚欢
6. 弗兰兹注意到对面包厢中坐着一位希腊美人，其同伴身影在阴影中，引起他的注意
7. 当二重唱精彩片段结束时，希腊美人的同伴站起来，弗兰兹认出他就是基督山岛的神秘主人和斗兽场的穿披风者
8. G伯爵夫人看到神秘人后感到强烈不安，形容他像"借尸还魂的罗思文勋爵"，请求弗兰兹不要接近他
9. 阿尔贝提出狂欢节装扮成农夫乘牛车的创意计划，派里尼老板称可以安排
10. 派里尼老板带来好消息：基督山伯爵邀请两位年轻人坐他的马车，并在罗斯波丽宫他预定的窗口为他们准备位置
11. 基督山伯爵派仆人送来正式名片，邀请他们明天见面
12. 弗兰兹看到处决犯人的"祈祷单"，确认将被处决的正是庇皮诺，与昨晚听到的计划相符
13. 弗兰兹和阿尔贝决定去拜访基督山伯爵，在豪华客厅等待时听到guzla琴的声音
14. 基督山伯爵出现，弗兰兹确认他就是之前遇到的所有神秘身份的同一个人

## 简化版
1. 弗兰兹在斗兽场听到神秘人计划营救将被处决的庇皮诺，约定以罗斯波丽宫窗口窗帘为信号
2. 弗兰兹在戏院中认出神秘人就是基督山岛的主人，G伯爵夫人对其感到恐惧
3. 基督山伯爵邀请弗兰兹和阿尔贝使用他的马车，并在罗斯波丽宫提供观礼窗口
4. 弗兰兹确认将被处决的犯人正是庇皮诺，决定拜访基督山伯爵

## 极简版
1. 神秘人计划营救庇皮诺，约定信号
2. 弗兰兹认出神秘人身份
3. 基督山伯爵发出邀请
4. 确认处决信息，准备拜访
