《三国演义》第八十九回"武乡侯四番用计　南蛮王五次遭擒"事件列表

【详细事件列表】（20条）

1. 孔明探路至西洱河，伐木为筏皆沉
2. 吕凯献计伐竹搭桥，阔十余丈
3. 孔明河北岸下寨，河南岸设三营
4. 孟获引兵至西洱河，搦战叫骂
5. 孔明坚守数日，待蛮兵懈怠
6. 孔明分派诸将，设退兵之计
7. 孟获中计追击，入蜀军空寨
8. 赵云、魏延、马岱三路夹攻
9. 孟获逃至大林，踏陷坑被擒
10. 孔明四擒孟获，再释之
11. 孟获兄弟投秃龙洞朵思大王
12. 朵思献四毒泉之计，断东北路
13. 孔明进军，军士误饮哑泉
14. 孔明遇伏波将军庙，山神指引
15. 孔明拜访万安隐者孟节
16. 孟节赐安乐泉水，解哑泉之毒
17. 孟节赠薤叶芸香，避瘴气
18. 孔明掘地得甘泉，军心安定
19. 杨锋父子助战，席间擒孟获
20. 孔明五擒孟获，再释之

【简要事件列表】（6条）

1. 孔明搭桥渡河，设退兵之计
2. 三路夹攻，四擒孟获
3. 孟获投秃龙洞，朵思献毒泉计
4. 军士中毒，孔明求救孟节
5. 杨锋助战，席间擒获
6. 五擒孟获，再释之

【极简事件列表】（4条）

1. 搭桥设退计，四擒孟获
2. 秃龙洞毒泉，军士中毒
3. 孟节赐神水，解救众军
4. 杨锋擒获，五擒五纵

【关键人物】

* 诸葛亮：蜀汉丞相，四番用计
* 孟获：南蛮王，五次遭擒
* 孟优：孟获之弟，屡败屡战
* 朵思大王：秃龙洞主，献毒泉计
* 吕凯：蜀汉向导，献搭桥计
* 王平：蜀汉将领，误饮哑泉
* 马岱：蜀汉将领，夹攻破敌
* 赵云：蜀汉老将，夹攻擒敌
* 魏延：蜀汉大将，设陷坑擒获
* 张翼：蜀汉将领，断后
* 关索：蜀汉将领，护车
* 杨锋：银冶洞主，助战擒孟获
* 孟节：万安隐者，孟获之兄
* 山神：伏波将军指引
* 万安隐者：即孟节，赐神水
* 杨锋五子：助战擒孟获

【关键地点】

* 西洱河：孔明搭桥之处
* 秃龙洞：孟获避难之所
* 哑泉：军士中毒之泉
* 灭泉：四毒泉之一
* 黑泉：四毒泉之一
* 柔泉：四毒泉之一
* 万安溪：孟节隐居之地
* 安乐泉：解药之泉
* 银冶洞：杨锋之洞
* 伏波将军庙：山神指引之处

【关键物品】

* 竹桥：渡河之具
* 陷坑：擒孟获之具
* 哑泉水：致哑之毒
* 安乐泉水：解药
* 薤叶芸香：避瘴之草
* 柏子茶：孟节待客之物
* 松花菜：孟节待客之物
* 金帛：孔明赠孟节之物
* 刀牌：蛮姑兵器
* 铁甲：杨锋兵士之甲

【典故成语】

* 神机妙算：诸葛亮之计
* 死不瞑目：孟获之语
* 倾心降服：孟获承诺
* 执迷不悟：孔明责孟获
* 免死狐悲：孟获责杨锋
* 物伤其类：孟获责杨锋
* 盗跖下惠：孔明叹孟节
* 毛发耸然：朵思惊惧
* 感恩不浅：老叟之言
* 生不如死：孔明之语

【精彩对白】

1. 孟获："吾料诸葛亮弃辎重而去，必因国中有紧急之事：若非吴侵，定是魏伐。"
2. 孟获："若敢再放吾回去，必然报四番之恨！"
3. 孔明："吾今四次以礼相待，汝尚然不服，何也？"
4. 孟获："吾虽是化外之人，不似丞相专施诡计，吾如何肯服？"
5. 朵思："若蜀兵到来，令他一人一骑不得还乡，与诸葛亮皆死于此处！"
6. 朵思："此处更有四个毒泉：一名哑泉，二曰灭泉，三曰黑泉，四曰柔泉。"
7. 孔明："若如此，正中孟获之计也。吾军一退，彼必乘势追之。"
8. 孔明："有负先帝托孤之重，生不如死也！"
9. 孟节："丞相休疑，容伸片言：某一父母所生三人：长即老夫孟节，次孟获，又次孟优。"
10. 孔明："方信盗跖、下惠之事，今亦有之。"
11. 朵思："此乃神兵也！"
12. 孟获："吾兄弟二人与蜀兵决一死战，就殒于军前，安肯束手受缚！"
13. 杨锋："吾兄弟子侄皆感诸葛丞相活命之恩，无可以报。今汝反叛，何不擒献！"
14. 孟获："免死狐悲，物伤其类。吾与汝皆是各洞之主，往日无冤，何故害我？"
15. 孟获："吾祖居银坑山中，有三江之险，重关之固。汝若就彼擒之，吾当子子孙孙，倾心服事。"

【情节特点】

1. **四番用计**：诸葛亮第四次设计擒孟获
2. **五次遭擒**：孟获第五次被擒
3. **毒泉之险**：四毒泉的险恶
4. **神人相助**：山神指引，孟节相助
5. **兄弟相残**：孟节助孔明擒孟获
6. **离间之计**：杨锋倒戈擒孟获
7. **地理险阻**：秃龙洞的险要地势
8. **天意相助**：掘地得甘泉

【战略意义】

1. **战略深入**：深入蛮方腹地
2. **险阻克服**：克服毒泉瘴气
3. **人心收服**：收服蛮方人心
4. **地理掌握**：了解蛮方地理
5. **盟友获得**：获得杨锋等盟友
6. **心理战术**：继续攻心战略
7. **天时地利**：获得天时地利
8. **历史影响**：七擒孟获接近尾声
