西游记第五十四至第五十五回关键事件列表

一 子母河误饮与求落胎泉
• 师徒西行早春，途经小河，唐僧、八戒误饮子母河水，腹痛如绞，腹内似有血团肉块鼓动。路遇西梁女国村舍老妪，告知此水“饮后成胎”，须至迎阳馆驿外照胎泉照影，若见双影便将临盆；若要解胎，须取解阳山破儿洞内落胎泉之水。老妪又言洞府已被如意真仙改为聚仙庵强占，取水须备礼求之。悟空问明路程约三十里，遂持钵前往求水。

二 如意真仙索战与“调虎离山”取水
• 悟空至聚仙庵，真仙因与悟空有旧怨（其侄红孩儿被观音收为善财童子），拒不给水，持如意钩与悟空大战十余合不胜。悟空遂以“调虎离山”计，与其徒沙僧内外夹攻：沙僧入庵打倒看守，取满一吊桶落胎泉水奔出。悟空复与真仙交锋，夺其如意钩折作四段，放言告诫其后再不可借机勒掯行人，携水回村。

三 解胎复行与西梁女国迎驾
• 村舍婆子以半盏落胎泉水救了唐僧与八戒，二妖胎气尽解；师徒谢别上路，不数里抵西梁女国。国中尽为女子，市井见师徒“人种来了”轰动。至迎阳驿，驿丞上奏，女王闻报大喜，夜梦“金屏生彩艳，玉镜展光明”，决意以一国之富招唐僧为夫。女王命太师作媒、驿丞主婚，先为师徒倒换关文，择吉日迎亲。

四 假亲脱网与女王情留
• 悟空定计“假亲脱网”：允婚、受印、入城，待筵宴后送师徒出城，行至城外以定身法定住君臣，师徒西去，再解术放人。女王与唐僧同辇入城，设素荤两筵，赐金银、御米。临行前女王再留，唐僧坚辞，女王扯住不放；八戒闯前嚷闹要喜酒，女王惊惶。忽有一女子弄阵旋风摄走唐僧，不知去向。

五 毒敌山琵琶洞再遭劫与昴日星官降妖
• 悟空循风追至毒敌山琵琶洞，见女怪（实为蝎子精）以“倒马毒”伤悟空头皮，八戒亦被扎伤嘴唇。女怪夜缠唐僧，唐僧守戒不从被捆。天明后，悟空请来昴日星官（大公鸡），星官现本相一叫，蝎子精浑身酥软现形，被八戒筑作烂酱。众女童原是被摄来的西梁女子，悟空放还，烧洞后师徒复行。
