## 第十八回 观音院唐僧脱难　高老庄行者降魔

### 详细事件列表（20条）：
1. 行者辞别观音，将袈裟挂在香楠树上，打入黑风洞，发现小妖已散走
2. 行者放火烧了黑风洞，拿着袈裟驾祥云返回观音院
3. 三藏久等行者不归，正疑惑间，行者带着袈裟回到院中
4. 三藏听行者讲述请菩萨降妖经过，设香案朝南礼拜
5. 师徒收拾包裹准备离开，众僧挽留用斋还愿
6. 次日晨，师徒辞别众僧，继续西行
7. 五七日后来到一村庄附近，三藏提议借宿
8. 行者先查看吉凶，确认是好人家，师徒前往
9. 行者拦住少年高才询问地名，得知此处是乌斯藏国高老庄
10. 高才诉说高太公家女儿被妖精霸占，自己正要去请法师
11. 行者表明身份，愿意帮忙降妖，高才带师徒前往高老庄
12. 高太公出迎，见行者相貌丑陋，心中畏惧
13. 高太公诉说妖怪女婿猪刚鬣的来历和种种劣迹
14. 行者保证今晚拿住妖怪，展示金箍棒让高太公放心
15. 行者让高太公请几位老者陪唐僧，自己去后宅降妖
16. 行者捣开后宅门锁，救出高翠兰，询问妖怪去向
17. 行者变作高翠兰模样，坐在房中等待妖怪归来
18. 妖怪猪刚鬣回来，行者与他交谈，套出其来历和洞府位置
19. 行者提到要请五百年前大闹天宫的孙悟空，妖怪闻言害怕欲逃
20. 行者现出原身，妖怪化作狂风逃走，行者驾云追赶

### 简化事件列表（5条）：
1. 师徒从观音院脱险后继续西行，来到高老庄
2. 遇到高太公家招了妖怪女婿猪刚鬣，高太公求助降妖
3. 行者前往后宅，救出被囚禁的高翠兰
4. 行者变作高翠兰模样，等待并戏弄妖怪
5. 妖怪得知行者身份后逃走，行者追赶而去

### 极简事件列表（2条）：
1. 师徒来到高老庄，得知高太公家有妖怪女婿
2. 行者变作高翠兰模样戏弄妖怪，妖怪逃走被追赶

### 绘图提示词：
绘制「行者变作翠兰戏猪妖」的场景。画面中心是一间农家卧室，床上坐着一位容貌姣好的少女（实为悟空变化），表情略带俏皮。一旁站着一位黑脸短毛、长喙大耳的妖怪（猪刚鬣），穿着青不青蓝不蓝的粗布直裰，腰间系着花布手巾，表情憨厚中带着疑惑。房间内有简单的农家家具，窗外透进微弱的月光。整体氛围既带有一丝紧张感，又不失幽默。
