# 第三十八回　婴儿问母知邪正　金木参玄见假真

## 详细版事件列表
1. 太子回宫至锦香亭见母亲，询问即位真相
2. 太子向母亲求证国王真假，母亲确认三年前后态度迥异
3. 太子出示金厢白玉圭，母亲认出是国王之宝，确认有妖怪冒充
4. 太子返回宝林寺向悟空禀报，悟空推测妖怪是冰冷之物所变
5. 太子担心回城无法交代，悟空召来山神土地提供猎物
6. 众山神刮聚兽阴风，捉来百千只野物供太子带回
7. 太子回城，军士们擒获猎物，称赞太子洪福
8. 一更时分，悟空心中有事难以入睡，叫醒唐僧商议
9. 悟空提出需找到国王尸首才能定罪，计划与八戒去偷取
10. 悟空唤醒八戒，谎称有宝贝要偷，骗其一同前往
11. 八戒贪财，答应随悟空前往，但要求分得宝贝
12. 二人二更时分到达乌鸡国，从后宰门潜入
13. 悟空和八戒跳墙进入御花园，打破门锁
14. 悟空见花园一片荒凉，想起唐僧梦中所言芭蕉树下有井
15. 二人找到芭蕉树，八戒拱倒树木，发现石板覆盖的井口
16. 悟空将金箍棒变长，让八戒抱着下井
17. 八戒下井后发现水府，井龙王率水族迎接天蓬元帅
18. 井龙王告知八戒，乌鸡国王尸首在水晶宫内，用定颜珠定住未坏
19. 八戒起初不愿驮尸首，井龙王命夜叉将尸抬出
20. 八戒摸到尸首后惊慌，呼叫悟空救命
21. 悟空告知尸首就是宝贝，催促八戒驮上来
22. 八戒无奈再次下井，将国王尸首背出水面
23. 悟空见国王容颜未改，询问原因，八戒说明定颜珠之事
24. 八戒不情愿驮尸首回寺，担心弄脏衣服
25. 悟空威胁要打八戒，八戒被迫背尸首上路
26. 悟空施法吹风，将二人送出城池，返回宝林寺
27. 八戒心中怨恨，计划撺掇唐僧念紧箍咒报复悟空
28. 二人将尸首丢在禅堂门前，唤醒唐僧
29. 唐僧见尸首惨凄落泪，八戒称悟空能医活国王
30. 唐僧听信八戒之言，要求悟空医活国王
31. 悟空称死人已死三年无法救治，八戒撺掇唐僧念咒
32. 唐僧念起紧箍咒，勒得悟空眼胀头疼

## 简化版事件列表
1. 太子向母亲求证国王真假，确认妖怪冒充真相
2. 太子返回宝林寺报告，悟空召山神提供猎物助其回城
3. 悟空与八戒二更潜入御花园，找到八角琉璃井
4. 八戒下井见井龙王，得知国王尸首被定颜珠定住
5. 八戒将国王尸首背回宝林寺，唐僧念咒逼悟空医活国王

## 极简版事件列表
1. 太子向母亲确认国王被妖怪取代的真相
2. 悟空和八戒找到并取回国王的尸首

## 绘图提示词
深夜的御花园中，孙悟空站在八角琉璃井旁，手持金箍棒指向井口，猪八戒正从井中艰难地爬出，背上驮着身穿赭黄袍的乌鸡国王尸首，月光透过乌云洒在荒凉的花园中，营造出阴森诡异的氛围。
