# 《射雕英雄传》第六章 崖顶疑阵 事件列表

## 详细版（30条）
1. 全金发以杀手试探郭靖，发现其已习得内功
2. 江南六怪怀疑郭靖暗中跟他人练武，郭靖解释是每晚有人教呼吸睡觉
3. 六怪决定晚上跟踪郭靖，查明真相
4. 郭靖与华筝在草原驰马弄雕
5. 朱聪与全金发跟踪郭靖至悬崖，见其轻松攀爬而上
6. 柯镇恶等四人随后赶到，埋伏等待
7. 朱聪与全金发艰难爬上崖顶，发现九个骷髅头，与黑风双煞当年所摆相同
8. 六怪怀疑郭靖与梅超风勾结，柯镇恶欲废郭靖武功
9. 南希仁、韩小莹等反对废去郭靖武功，六怪意见分歧
10. 郭靖在崖顶向马钰告知黑风双煞之事，二人发现骷髅堆
11. 梅超风突然上崖，郭靖与马钰躲在岩石后观察
12. 梅超风在崖顶练功，展示银鞭和九阴白骨爪
13. 梅超风离去，马钰与郭靖跟踪至桑昆营地
14. 郭靖偷听到桑昆、札木合与完颜洪烈密谋杀害铁木真
15. 梅超风在营地询问郭靖师父下落，马钰与郭靖决定赶回报信
16. 马钰自报名号，江南六怪震惊，误会解除
17. 华筝来报铁木真不信警告，已前往王罕处
18. 马钰与六怪设计冒充全真七子吓退梅超风
19. 八人上崖顶设伏，梅超风果然到来并擒住华筝
20. 朱聪等模仿全真七子对话，马钰展示深厚内功
21. 梅超风识破部分真相但因马钰内功高深而退去
22. 郭靖骑小红马追铁木真报信，遇到多批伏兵
23. 铁木真半信半疑，派察合台与赤老温哨探
24. 探兵证实王罕军马来袭，铁木真率军上土山戒备
25. 桑昆大军包围土山，郭靖勇擒都史作为人质
26. 札木合上山劝降，铁木真拒绝，二人割袍断义
27. 完颜洪烈派黄河四鬼攻山，郭靖与之激战受伤
28. 江南六怪赶到助战，柯镇恶将黄河四鬼掷下山
29. 拖雷军马赶到救援，铁木真突围而出
30. 铁木真诈伤麻痹敌人，夜袭王罕札木合联军取胜
31. 札木合被擒，求不流血而死，铁木真将其压死厚葬
32. 铁木真统一蒙古，被推举为成吉思汗
33. 郭靖因功被封千夫长，成吉思汗封其为金刀驸马
34. 李萍告知郭靖与杨铁心指腹为婚之事
35. 江南六怪决定带郭靖南行，寻找杨康并报父仇
36. 成吉思汗命郭靖取完颜洪烈首级，赠黄金为盘缠
37. 郭靖与母亲洒泪而别，拖雷与华筝赶来送行

## 简化版（10条）
1. 江南六怪发现郭靖习得内功，跟踪至悬崖发现黑风双煞留下的骷髅堆
2. 马钰身份揭示，他是暗中传授郭靖内功的三髻道人，与六怪误会解除
3. 马钰与江南六怪设计冒充全真七子吓退前来寻仇的梅超风
4. 郭靖与马钰发现桑昆、札木合与完颜洪烈密谋杀害铁木真
5. 郭靖骑小红马追铁木真报信，在土山上勇擒都史作为人质
6. 札木合上山劝降，铁木真拒绝，二人割袍断义
7. 黄河四鬼攻山，郭靖与之激战，江南六怪赶到助战
8. 拖雷军马赶到救援，铁木真突围，后诈伤夜袭王罕札木合联军取胜
9. 铁木真统一蒙古，被推举为成吉思汗，封郭靖为金刀驸马
10. 李萍告知郭靖与杨铁心指腹为婚之事，江南六怪决定带郭靖南行

## 极简版（3条）
1. 马钰身份揭示，与江南六怪设计吓退梅超风
2. 郭靖报信救铁木真，夜袭王罕札木合联军取胜
3. 铁木真统一蒙古称成吉思汗，郭靖南行寻杨康报父仇
