# 《射雕英雄传》第九章事件列表

## 详细版（38条）
1. 郭黄二人夜闯赵王府后院，发现铁牢中关着穆易父女
2. 完颜康来到铁牢，劝说穆易让女儿嫁给他，但被拒绝
3. 完颜康折断兔子腿骨，哄骗母亲包惜弱医治
4. 黄蓉施计扭断简管家手臂，逼他向完颜康求药
5. 简管家拿着完颜康的手令到香雪厅找梁子翁取药
6. 郭黄二人尾随简管家，发现香雪厅聚集众多高手
7. 完颜洪烈透露正在寻找岳飞的兵法遗书
8. 郭靖在取药时遭梁子翁的药蛇袭击，被迫吸尽蛇血
9. 郭靖发现穆易是父亲郭啸天的义兄杨铁心
10. 包惜弱释放杨铁心父女并赠银
11. 郭靖与完颜康再次交手，体内蛇血开始发作
12. 黄蓉与侯通海比试头顶酒碗，以巧取胜
13. 沙通天阻拦黄蓉，黄蓉施计逃脱却被彭连虎钱镖逼回
14. 黄蓉使用各家各派武功与彭连虎交手，故意掩饰真实身份
15. 彭连虎认出黄蓉疑似黑风双煞门下，大惊住手
16. 梁子翁发现宝蛇被杀，追寻郭靖欲吸血复仇
17. 郭靖被梁子翁和完颜康追捕，躲入王妃房中板橱
18. 杨铁心返回寻找包惜弱，两人相认
19. 杨铁心抚摸墙上铁枪，认出当年旧物
20. 杨铁心说出十八年前的对话，包惜弱确认其身份
21. 完颜康听到房内有男人声音，起疑敲门
22. 包惜弱指板橱让杨铁心躲藏，发现里面已有郭靖
23. 完颜康撞门而入，发现母亲神情异常
24. 完颜康察觉板橱藏人，用铁枪猛刺
25. 包惜弱为救杨铁心和郭靖，惊吓得晕了过去
26. 完颜康收起铁枪，询问母亲隐瞒之事
27. 包惜弱向完颜康解释铁枪和旧物的来历
28. 包惜弱说出杨康是汉人而非金人
29. 包惜弱揭示杨康的真实姓氏和身份
30. 包惜弱拉开板橱门，让杨铁心与完颜康相见
31. 黄蓉在香雪厅众人面前显示黑风双煞武功特征
32. 郭靖误饮宝蛇血后内力大增，身体发热异常
33. 杨铁心讲述十八年来的流浪经历和寻找郭家人的经过
34. 包惜弱回忆当年与杨铁心的生活点滴
35. 郭黄二人潜入赵王府的主要目的是为救王处一盗药
36. 香雪厅中各高手讨论王处一受伤之事
37. 完颜洪烈计划利用找到的岳飞兵法征服南宋
38. 杨康(完颜康)面临身份认同的巨大冲击

## 简化版（10条）
1. 郭黄二人夜闯赵王府，发现穆易父女被囚，郭靖与穆易(杨铁心)相认
2. 黄蓉施计让简管家帮忙取得药材，郭靖在过程中误饮梁子翁宝蛇血
3. 包惜弱释放杨铁心父女并赠银
4. 黄蓉在香雪厅与众高手周旋，被彭连虎认出疑似黑风双煞门下
5. 郭靖被梁子翁追捕，躲入王妃房中板橱
6. 杨铁心返回与包惜弱相认，两人互诉十八年来的思念
7. 完颜康察觉母亲房中藏人，欲用铁枪刺向板橱
8. 包惜弱为救杨铁心和郭靖，惊吓得晕了过去
9. 包惜弱向完颜康揭示其真实身份：本名杨康，是汉人与杨铁心的儿子
10. 包惜弱拉开板橱门，让杨铁心与完颜康相见

## 极简版（3条）
1. 郭黄夜闯赵王府盗药，郭靖误饮宝蛇血内力大增
2. 杨铁心与包惜弱重逢相认，揭开十八年前的往事
3. 包惜弱向完颜康揭示其真实身份：杨康，杨铁心的儿子
