《水浒传》第十七回"花和尚单打二龙山 青面兽双夺宝珠寺"事件列表

【详细版 - 20条事件】
1. 杨志在黄泥冈失陷生辰纲后欲自尽，醒悟后离开
2. 老都管等人苏醒，商议诬陷杨志与强人勾结劫纲
3. 老都管等人到济州府首告，连夜赶回北京报信
4. 杨志到酒店吃酒无钱，与店主打斗
5. 曹正与杨志交手不敌，认出杨志身份
6. 曹正告知是林冲徒弟，请杨志到家中款待
7. 杨志向曹正诉说失陷花石纲和生辰纲经过
8. 曹正建议杨志投奔二龙山邓龙入伙
9. 杨志到二龙山，在林中遇鲁智深
10. 杨志与鲁智深交手四五十合不分胜负
11. 两人互通姓名，原来是同乡相认
12. 鲁智深讲述救林冲、火烧菜园、十字坡遇险经历
13. 鲁智深告知被邓龙拒之门外，关隘紧闭
14. 杨志、鲁智深到曹正家商议夺取二龙山
15. 曹正献计假绑鲁智深献上山，趁机夺寨
16. 众人按计行事，将鲁智深绑到二龙山
17. 邓龙中计开寨门，众人上山
18. 鲁智深挣脱绳索，与杨志合力杀死邓龙
19. 众喽啰投降，鲁智深、杨志成为山寨之主
20. 梁中书得知生辰纲被劫，派人到济州府追查

【简要版 - 6条事件】
1. 杨志失陷生辰纲，被诬陷后逃亡
2. 遇林冲徒弟曹正，指点投奔二龙山
3. 在二龙山遇鲁智深，两人交手后相认
4. 鲁智深讲述被邓龙拒之门外经历
5. 曹正献计，假绑鲁智深上山夺寨
6. 成功夺取二龙山，鲁智深、杨志成为寨主

【极简版 - 4条事件】
1. 杨志失陷生辰纲后逃亡遇曹正
2. 二龙山遇鲁智深，两人结为兄弟
3. 曹正献计智取二龙山
4. 成功夺寨，鲁智深、杨志落草为寇
