《水浒传》第十八回"美髯公智稳插翅虎 宋公明私放晁天王"事件列表

【详细版 - 20条事件】
1. 何涛与兄弟何清商议，何清提供晁盖等人线索
2. 何清讲述在安乐村客店抄写文簿，认出晁盖等人
3. 何清指认白胜为挑酒之人，提供关键证据
4. 何涛带人三更时分到白胜家，将其抓获
5. 在白胜床下掘出金银赃物，白胜抵赖不招
6. 白胜被打熬不过，供出晁盖为首，但不识其他六人
7. 济州府差何涛带公文到郓城县捉拿晁盖等人
8. 何涛在茶坊等候，遇见郓城县押司宋江
9. 宋江得知要捉晁盖，内心震惊，决定报信
10. 宋江假意应付何涛，骑马飞奔东溪村报信
11. 宋江见到晁盖，告知生辰纲事发的危险
12. 宋江劝晁盖三十六计走为上计，速速逃亡
13. 晁盖感谢宋江救命之恩，决定投奔梁山泊
14. 吴用、刘唐先带金银去石碣村阮家安顿
15. 宋江回县衙，引何涛见知县下公文
16. 知县派朱仝、雷横两个都头带人捉拿晁盖
17. 朱仝设计分兵，自己带人埋伏后门放走晁盖
18. 雷横攻打前门，故意大惊小怪催促晁盖逃走
19. 晁盖放火烧庄，与公孙胜从后门杀出
20. 朱仝暗中指引晁盖投奔梁山泊，暗中放行

【简要版 - 6条事件】
1. 何清提供线索，白胜被捕供出晁盖
2. 何涛到郓城县捉拿晁盖等人
3. 宋江得知消息，飞马报信给晁盖
4. 晁盖决定逃亡，吴用等人分头行动
5. 朱仝、雷横带兵围庄，暗中放走晁盖
6. 晁盖成功逃脱，投奔梁山泊

【极简版 - 4条事件】
1. 白胜被捕供出晁盖，官府追捕
2. 宋江冒险报信，救晁盖性命
3. 朱仝、雷横暗中相助，放走晁盖
4. 晁盖等人成功逃亡，投奔梁山
