【标题】
第二十五回 荒村野店

【详细事件列表】
1. 黄药师现身傻姑酒店，震慑群魔，扯断侯通海手臂，众人从其胯下钻出逃走
2. 黄药师强令陆冠英与程瑶迦成亲，二人拜天地洞房花烛
3. 郭靖黄蓉在密室中疗伤，已过五日五夜，伤势大有好转
4. 欧阳克发现密室，欲强逼程瑶迦脱衣，黄蓉与之激战
5. 穆念慈押着杨铁心夫妇灵柩到牛家村，意外撞见欧阳克作恶
6. 杨康刺杀欧阳克，为穆念慈解围，两人重归于好
7. 杨康与穆念慈安葬杨铁心夫妇，杨康心怀叵测欲追杀陆程二人灭口
8. 华筝公主率拖雷、哲别、博尔忽寻访郭靖，宋军护送蒙古钦使北返
9. 杨康谎称郭靖被宋将段天德害死，骗取蒙古人信任
10. 丘处机等全真七子到牛家村寻访黄药师，遇见穆念慈和杨康
11. 杨康诬陷黄药师杀死郭靖，全真七子大怒欲报仇
12. 杨康持打狗棒得丐帮八袋弟子敬重，与穆念慈同赴岳州之会
13. 裘千仞造谣称黄药师杀死周伯通，全真六子信以为真
14. 梅超风寻师至牛家村，与全真七子激战，被困天罡北斗阵
15. 黄药师与全真七子大战，欧阳锋趁机偷袭，梅超风舍命护师而死
16. 欧阳锋临去挑拨离间，黄药师与全真派误会更深
17. 谭处端被欧阳锋偷袭重伤而死，全真六子含恨而去
18. 郭靖七日七夜疗伤功成，内伤基本痊愈

【简要事件列表】
1. 黄药师现身震慑群魔，强令陆程二人成亲
2. 欧阳克欲强逼程瑶迦脱衣，被杨康刺杀
3. 杨康谎称郭靖被害死，骗取蒙古人和全真派信任
4. 梅超风与全真七子大战天罡北斗阵，欧阳锋偷袭致谭处端死亡
5. 郭靖疗伤七日功成，黄药师与全真派误会加深

【极简事件列表】
1. 黄药师强令陆程成亲，震慑群魔
2. 杨康刺杀欧阳克，谎称郭靖被害
3. 梅超风大战全真七子，欧阳锋偷袭致死谭处端
4. 郭靖疗伤功成，各派误会加深
